,Fire_Year,annual_smoke_intake,daily_avg_fire_szn
0,1963,1602.8227940571037,8.71099344596252
1,1964,1557.3030331756124,8.463603441171808
2,1965,1373.8558522800445,7.466607892826329
3,1966,1906.3624763977684,10.360665632596568
4,1967,1995.9019047941983,10.847292960838034
5,1968,1992.6999660904557,10.829891120056825
6,1969,1521.0044425076208,8.266328491889244
7,1970,2382.5582793652648,12.948686300898178
8,1971,1819.2728678437552,9.887352542629104
9,1972,2030.2608205697452,11.034026198748615
10,1973,2210.5870877546927,12.014060259536373
11,1974,2624.8268900331263,14.26536353278873
12,1975,2062.3900031055546,11.20864132122584
13,1976,2186.6116993710257,11.883759235712096
14,1977,2016.8554587079775,10.961170971239008
15,1978,1940.8606786536948,10.548155862248342
16,1979,3214.2865028021897,17.46894838479451
17,1980,3649.745739994986,19.83557467388579
18,1981,3866.864612170606,21.01556854440547
19,1982,2077.527245217474,11.290908941399316
20,1983,2947.6027063691627,16.019579925919363
21,1984,3831.418453541623,20.822926377943602
22,1985,5335.417785642485,28.996835791535243
23,1986,4536.318877654715,24.653906943775624
24,1987,6524.406858269782,35.45873292537925
25,1988,6021.302229743707,32.72446863991145
26,1989,5056.127358036995,27.478953032809756
27,1990,4003.4831320610983,21.758060500332057
28,1991,3403.6714208628878,18.49821424382004
29,1992,4453.97098182159,24.206364031639076
30,1993,2773.6832943560385,15.074365730195861
31,1994,6376.6941721708545,34.655946587885076
32,1995,3904.008185200863,21.217435789135124
33,1996,6812.553204546436,37.0247456768828
34,1997,3250.1068967579718,17.66362443890202
35,1998,4394.081818909172,23.88087945059333
36,1999,6028.666696683224,32.76449291675665
37,2000,8989.51911296227,48.856082135664515
38,2001,6780.238998598899,36.84912499238532
39,2002,6422.09800393005,34.9027065430981
40,2003,7163.348445881985,38.93124155370644
41,2004,4617.93267010434,25.097460163610545
42,2005,7232.0726941218545,39.30474290283617
43,2006,10474.256498201888,56.925307055445046
44,2007,8703.03482057042,47.2991022857088
45,2008,7208.8660171428155,39.17861965838487
46,2009,6680.963443741484,36.30958393337763
47,2010,6189.415191973079,33.63812604333195
48,2011,8886.266902678579,48.29492881890532
49,2012,10001.357412120122,54.35520332673979
50,2013,7112.198795270026,38.65325432211971
51,2014,6477.885518792793,35.20589955865648
52,2015,8390.15781034352,45.59868375186696
53,2016,8923.679953529147,48.49826061700623
54,2017,12024.873652853785,65.35257420029231
55,2018,10261.375915166027,55.76834736503275
56,2019,8404.316753403022,45.675634529364245
57,2020,17167.874113136844,93.30366365835242
