,Fire_Year,Annual Smoke Index
0,1963,8.71099344596252
1,1964,8.463603441171808
2,1965,7.466607892826329
3,1966,10.360665632596568
4,1967,10.847292960838034
5,1968,10.829891120056825
6,1969,8.266328491889244
7,1970,12.948686300898178
8,1971,9.887352542629104
9,1972,11.034026198748617
10,1973,12.014060259536372
11,1974,14.26536353278873
12,1975,11.20864132122584
13,1976,11.883759235712096
14,1977,10.961170971239008
15,1978,10.548155862248342
16,1979,17.46894838479451
17,1980,19.83557467388579
18,1981,21.01556854440547
19,1982,11.290908941399316
20,1983,16.019579925919363
21,1984,20.8229263779436
22,1985,28.996835791535243
23,1986,24.653906943775624
24,1987,35.45873292537925
25,1988,32.72446863991145
26,1989,27.47895303280976
27,1990,21.758060500332057
28,1991,18.49821424382004
29,1992,24.20636403163908
30,1993,15.07436573019586
31,1994,34.65594658788508
32,1995,21.217435789135124
33,1996,37.0247456768828
34,1997,17.66362443890202
35,1998,23.88087945059333
36,1999,32.76449291675665
37,2000,48.85608213566452
38,2001,36.84912499238532
39,2002,34.9027065430981
40,2003,38.93124155370644
41,2004,25.097460163610545
42,2005,39.30474290283617
43,2006,56.925307055445046
44,2007,47.2991022857088
45,2008,39.17861965838487
46,2009,36.30958393337763
47,2010,33.63812604333195
48,2011,48.29492881890532
49,2012,54.35520332673979
50,2013,38.65325432211971
51,2014,35.20589955865648
52,2015,45.59868375186696
53,2016,48.49826061700623
54,2017,65.35257420029231
55,2018,55.76834736503275
56,2019,45.675634529364245
57,2020,93.30366365835242
58,2021,68.32848784655158
59,2022,70.44361658468821
60,2023,68.18667471140802
61,2024,67.99655418543259
62,2025,79.100120512542
63,2026,75.10086588730759
64,2027,75.8516977114157
65,2028,75.94410096207827
66,2029,76.97934471258363
67,2030,80.2574577430447
68,2031,80.3550584290407
69,2032,81.2300098349935
70,2033,82.02272331379184
71,2034,83.13449952994652
72,2035,84.70132260886066
73,2036,85.58957794461155
74,2037,86.58846378395143
75,2038,87.58184681505976
76,2039,88.67142231144156
77,2040,89.8560002277257
78,2041,90.89386567998106
79,2042,91.9421811029351
80,2043,92.99171715408859
81,2044,94.06856278836948
82,2045,95.16595669884231
83,2046,96.23121347206757
84,2047,97.29551604611433
85,2048,98.36052587618995
86,2049,99.43301489061756
87,2050,100.51012962745763
